deltaP,Umax,Re,Cu,n,Nu0,NuInf,Lambda,AvgOmega,AvgNu,AvgVel,AvgP,PG,q,AvgVelOut
0.000050,2.66E-06,0.00177234,1,0.5,0.6,0,150460000,0.416461,0.633729,1.66E-06,0.99873,1.25E-07,0.000668327,1.68E-06
0.000050,2.45E-06,0.00140207,1,0.5,0.7,0,163024000,0.394995,0.677226,1.35E-06,0.99873,1.25E-07,0.000541547,1.36E-06
0.000050,2.29E-06,0.00114614,1,0.5,0.8,0,174499000,0.375393,0.721291,1.12E-06,0.99873,1.25E-07,0.000451345,1.13E-06
0.000100,2.37E-05,0.0949154,1,0.5,0.1,0,16857100,0.579241,0.408799,2.38E-05,0.998669,2.51E-07,0.00957851,2.41E-05
0.000100,1.23E-05,0.0245601,1,0.5,0.2,0,32573200,0.528951,0.463512,1.20E-05,0.998668,2.51E-07,0.00480983,1.21E-05
0.000100,8.65E-06,0.0115298,1,0.5,0.3,0,46256900,0.493445,0.508857,7.73E-06,0.998667,2.51E-07,3.11E-03,7.80E-06
0.000100,6.93E-06,0.00692531,1,0.5,0.4,0,57759100,0.464555,0.550866,5.54E-06,0.998667,2.51E-07,0.00222573,5.59E-06
0.000100,5.93E-06,0.00474307,1,0.5,0.5,0,67466800,0.439479,0.591808,4.22E-06,0.998666,2.51E-07,0.00169538,4.26E-06
0.000100,5.32E-06,0.00354488,1,0.5,0.6,0,75225900,0.416463,0.633724,3.33E-06,0.998666,2.51E-07,0.00133687,3.36E-06
0.000100,4.91E-06,0.00280428,1,0.5,0.7,0,81507900,0.394983,0.677252,2.70E-06,0.998666,2.51E-07,0.00108327,2.72E-06
0.000100,4.58E-06,0.00229239,1,0.5,0.8,0,87245100,0.375444,0.721171,2.25E-06,0.998665,2.51E-07,0.000902853,2.27E-06
0.000500,1.19E-04,0.475019,1,0.5,0.1,0,3368290,0.579153,0.408886,1.14E-04,0.99817,1.25E-06,0.0459779,1.16E-04
0.000500,6.15E-05,0.122916,1,0.5,0.2,0,6508530,0.528964,0.463496,5.96E-05,0.998164,1.25E-06,0.0239679,6.02E-05
0.000500,4.33E-05,0.0577033,1,0.5,0.3,0,9242680,0.493445,0.508856,3.86E-05,0.998161,1.25E-06,1.55E-02,3.90E-05
0.000500,3.47E-05,0.0346592,1,0.5,0.4,0,11541000,0.464536,0.550895,2.77E-05,0.998158,1.25E-06,0.0111345,2.80E-05
0.000500,2.97E-05,0.0237377,1,0.5,0.5,0,13480700,0.439514,0.591747,2.11E-05,0.998156,1.25E-06,0.00848296,2.13E-05
0.000500,2.66E-05,0.0177319,1,0.5,0.6,0,15038800,0.416488,0.633676,1.67E-05,0.998154,1.25E-06,0.00669282,1.68E-05
0.000500,2.45E-05,0.0140273,1,0.5,0.7,0,16294800,0.39499,0.677236,1.35E-05,0.998153,1.25E-06,0.00542344,1.36E-05
0.000500,2.29E-05,0.0114667,1,0.5,0.8,0,17441800,0.375396,0.721285,1.12E-05,0.998152,1.25E-06,0.00452019,1.14E-05
0.001000,2.38E-04,0.951144,1,0.5,0.1,0,1682180,0.578781,0.409257,2.14E-04,0.997553,2.51E-06,0.0859345,2.16E-04
0.001000,1.23E-04,0.24612,1,0.5,0.2,0,3250450,0.528926,0.463541,0.000118125,0.997535,2.51E-06,0.0474891,0.000119319
